ID,author,year,method,TP,FP,FN,TN
1,Grumbine,1981,1,0,1,6,17
2,Walsh,1981,1,12,3,3,7
3,Brenner,1982,1,4,1,2,13
4,Villasanta,1983,1,10,4,3,25
5,vanEngelshoven,1984,1,3,1,4,12
6,Bandy,1985,1,9,3,3,29
7,Vas,1985,1,20,4,8,31
8,King,1986,1,17,5,7,21
9,Feigen,1987,1,2,0,9,32
10,Camilien,1988,1,3,1,9,38
11,Janus,1989,1,1,1,2,18
12,Matsukuma,1989,1,5,2,2,61
13,Heller,1990,1,21,8,40,184
14,Kim,1990,1,4,3,9,42
15,Ho,1992,1,0,0,5,15
16,Kim,1993,1,7,11,22,158
17,Subak,1995,1,3,3,2,29
18,Kindermann,1970,2,19,1,10,81
19,Lecart,1971,2,8,9,2,13
20,Piver,1971,2,41,1,12,49
21,Piver,1973,2,5,1,2,18
22,Kolbenstvedt,1975,2,45,58,32,165
23,LemanJr,1975,2,8,6,2,32
24,Brown,1979,2,5,8,1,7
25,Lagasse,1979,2,15,17,11,52
26,Kjorstad,1980,2,16,11,8,24
27,Ashraf,1982,2,4,8,2,25
28,deMuylder,1984,2,8,12,10,70
29,Smales,1986,2,10,4,4,55
30,Feigen,1987,2,2,5,6,23
31,Swart,1989,2,7,10,7,30
32,Heller,1990,2,44,50,12,135
33,Lafianza,1990,2,8,3,1,37
34,Stellato,1992,2,4,3,0,14
35,Hricak,1988,3,9,2,2,44
36,Greco,1989,3,3,6,5,32
37,Janus,1989,3,3,2,1,16
38,Kim,1990,3,3,1,12,44
39,Ho,1992,3,0,0,5,15
40,Kim,1993,3,7,2,22,167
41,Hawnaur,1994,3,12,4,4,29
42,Kim,1994,3,23,5,14,230
43,Subak,1995,3,8,5,5,53
44,Heuck,1997,3,16,2,2,22